,KEY,Site,DrinkingWaterGroup,DrinkingWater_Private,DrinkingWater_Public,DrinkingWaterDist,DrinkingWaterPaySocial,DrinkingWaterAvailability,ObsHandWashPLACE,ObsHandWashSOAP,ObsHandWashWATER,ToiletFacility,ToiletFacilityTYPE,ToiletFacilityTYPE_Dry,ToiletFacilityTYPE_Flush,ToiletFacilitySHARE,ToiletROOF,ToiletFacilityCLEAN,HHITEMS/Computer,HHITEMS/Electricity,HHITEMS/Internet,HHITEMS/Oven,HHITEMS/Radio,HHITEMS/Refrigerator,HHITEMS/Smartphone,HHITEMS/Television,HHITEMS/Noitems,HHITEMS/NA,HHEXTWALLS,HHROOF,HHFLOOR,HHROOMS,HHCOOKING,StreetFood,SurveyArea
0,uuid:464423ec-b7a0-4924-b3e4-ce85bb6a5286,Azito,Private,Piped_dwel,,,Y,N,Obs_Mobile,SoapOrDeterg,Water_NOT_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,0,1,0,0,1,0,0,1,0,0,Covered_adobe,CementFiber,Cement,1,Outdoors,0_1,AZ2
1,uuid:b3296fc2-e492-42ae-adb3-7bd1d50ce72e,Azito,Private,Piped_dwel,,,N,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,0,1,1,1,1,1,1,1,0,0,Covered_adobe,Metal,Ceramic,2,House,2_4,AZ1
2,uuid:ecad555f-212d-4188-9228-bb80e0fcba51,Azito,Private,Piped_dwel,,,N,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,0,1,0,0,1,0,0,0,0,0,Covered_adobe,Metal,Ceramic,1,House,0_1,AZ1
3,uuid:9c38f788-bf34-4a13-a70e-782eea816703,Azito,Private,Piped_dwel,,,Y,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,1,1,1,0,0,1,1,1,0,0,Covered_adobe,CementFiber,Ceramic,4,House,2_4,AZ3
4,uuid:5af42a84-d16f-465c-bd56-8e8a07b2dda1,Azito,Private,Piped_yard,,,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_septic_tank,N,Y,Clean,0,1,1,0,0,0,1,1,0,0,Covered_adobe,Metal,Ceramic,2,House,2_4,AZ2
5,uuid:50bd2169-3a72-4d7a-85d3-580667bcbe4d,Azito,Private,Piped_dwel,,,Y,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,0,1,1,1,1,0,1,1,0,0,Covered_adobe,CeramicTiles,Cement,3,House,2_4,AZ4
6,uuid:b08a7cd9-67cf-45a0-9552-26956400cf7a,Azito,Private,Piped_dwel,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,0,1,1,1,1,1,1,1,0,0,Covered_adobe,CeramicTiles,Cement,2,House,2_4,AZ4
7,uuid:a865767a-cd99-4a27-8196-e82939a35de3,Azito,Private,Piped_dwel,,,Y,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,0,1,1,0,0,1,1,1,0,0,Covered_adobe,CementFiber,Ceramic,1,House,5_Or_More,AZ5
8,uuid:7ffec7a6-a940-4163-a1b1-51a2d2d69dee,Azito,Private,Piped_dwel,,,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,0,1,1,0,0,1,1,1,0,0,Covered_adobe,CeramicTiles,Cement,3,House,2_4,AZ4
9,uuid:05d79113-0b30-48b6-a3fe-978337497171,Azito,Private,Piped_dwel,,,Y,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_NA,N,Y,,0,1,0,0,0,0,0,1,0,0,Covered_adobe,CementFiber,Ceramic,2,House,5_Or_More,AZ2
10,uuid:45e42a24-0fc2-4f19-80bd-7fb01925071b,Azito,Private,Piped_dwel,,,N,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_coveredPit,N,Y,,0,1,1,0,0,1,1,1,0,0,Covered_adobe,Rustic_toles_fibr,Cement,2,Outdoors,2_4,AZ2
11,uuid:73d150a8-3d8f-453c-b554-7ed7d0acd462,Azito,Private,Piped_yard,,,Y,Y,Obs_Mobile,None,Water_OK,Own_YardPlot,DryOrCompost,Dry_ImprSlab,,N,Y,Dirty,0,1,1,0,0,0,1,1,0,0,ReusedWoodOrBamboo,Rustic_toles_fibr,Cement,2,Outdoors,2_4,AZ5
12,uuid:cb6c634f-57c8-471c-a9da-5465c3e1b2a5,Azito,Private,Piped_dwel,,,Y,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_piped,N,Y,,0,1,1,0,1,1,1,1,0,0,Covered_adobe,CementFiber,Ceramic,3,House,0_1,AZ2
13,uuid:e5919599-f4d7-4e66-91bc-75a3633170a5,Azito,Surface,,,3.0,,Y,Obs_Mobile,None,Water_OK,Own_Dwelling,Flush,,Flush_river,N,Y,,0,1,1,0,1,0,1,0,0,0,Covered_adobe,CementFiber,Cement,1,Outdoors,2_4,AZ5
